,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
193,Europe,马耳他,Malta,马耳他,Malta,169,0.0,0,0,,,,,,,2020-04-01
2239,Europe,马耳他,Malta,马耳他,Malta,151,0.0,0,0,,,,,,,2020-03-31
4175,Europe,马耳他,Malta,马耳他,Malta,139,0.0,0,0,,,,,,,2020-03-30
7349,Europe,马耳他,Malta,马耳他,Malta,139,0.0,0,0,,,,,,,2020-03-29
8989,Europe,马耳他,Malta,马耳他,Malta,134,0.0,0,0,,,,,,,2020-03-28
11218,Europe,马耳他,Malta,马耳他,Malta,129,0.0,0,0,,,,,,,2020-03-27
13916,Europe,马耳他,Malta,马耳他,Malta,120,0.0,0,0,,,,,,,2020-03-26
17864,Europe,马耳他,Malta,马耳他,Malta,107,0.0,0,0,,,,,,,2020-03-25
19584,Europe,马耳他,Malta,马耳他,Malta,90,0.0,0,0,,,,,,,2020-03-24
22920,Europe,马耳他,Malta,马耳他,Malta,73,0.0,0,0,,,,,,,2020-03-23
25581,Europe,马耳他,Malta,马耳他,Malta,64,0.0,0,0,,,,,,,2020-03-22
27016,Europe,马耳他,Malta,马耳他,Malta,53,0.0,0,0,,,,,,,2020-03-21
27880,Europe,马耳他,Malta,马耳他,Malta,48,0.0,0,0,,,,,,,2020-03-20
29140,Europe,马耳他,Malta,马耳他,Malta,38,0.0,0,0,,,,,,,2020-03-19
31481,Europe,马耳他,Malta,马耳他,Malta,30,0.0,0,0,,,,,,,2020-03-18
32897,Europe,马耳他,Malta,马耳他,Malta,21,0.0,0,0,,,,,,,2020-03-17
35224,Europe,马耳他,Malta,马耳他,Malta,18,0.0,0,0,,,,,,,2020-03-16
36322,Europe,马耳他,Malta,马耳他,Malta,18,0.0,0,0,,,,,,,2020-03-15
37806,Europe,马耳他,Malta,马耳他,Malta,6,0.0,0,0,,,,,,,2020-03-14
38611,Europe,马耳他,Malta,马耳他,Malta,6,0.0,0,0,,,,,,,2020-03-13
39550,Europe,马耳他,Malta,马耳他,Malta,6,0.0,0,0,,,,,,,2020-03-12
40326,Europe,马耳他,Malta,马耳他,Malta,5,0.0,0,0,,,,,,,2020-03-11
41344,Europe,马耳他,Malta,马耳他,Malta,1,0.0,0,0,,,,,,,2020-03-10
42841,Europe,马耳他,Malta,马耳他,Malta,1,0.0,0,0,,,,,,,2020-03-09
43362,Europe,马耳他,Malta,马耳他,Malta,1,0.0,0,0,,,,,,,2020-03-08
